title,slug,active_installs,relevance,review_count,avg_rating
WP Video Enhanced,wp-video-enhanced,100,1,4,5
Gallery &#8211; Flagallery Photo Portfolio,flash-album-gallery,20000,0,98,4
Clicky Analytics,clicky-analytics,10000,0,17,4.6
AvgBot,avgbot-auto-video-grabber,100,0,4,4
Easy Digital Downloads HSS Extension for Streaming Video,easydigitaldownloads-hoststreamsell-extension,60,1,4,5
Media from FTP,media-from-ftp,20000,0,59,4.6
Blue Admin,blue-admin,2000,0,6,5
Schema &#8211; All In One Schema Rich Snippets,all-in-one-schemaorg-rich-snippets,90000,0,144,4.2
Polo Video Gallery &#8211; Best wordpress video gallery plugin,polo-video-gallery,0,1,2,5
Video Destacado,video-destacado,200,1,4,5
WPB WooCommerce Product Slider,wpb-woocommerce-product-slider,9000,0,31,4
Wistia WordPress Plugin,wistia-wordpress-oembed-plugin,7000,0,8,3.1
JW Player for WordPress,jw-player-7-for-wp,4000,0,27,3.9
Data Tables Generator by Supsystic,data-tables-generator-by-supsystic,30000,0,402,4.9
"Nextend Social Login and Register (Facebook, Google, Twitter)",nextend-facebook-connect,200000,0,163,4.8
Srizon Responsive Youtube Album,srizon-responsive-youtube-album,2000,0,13,4.7
Accessible Video Library,accessible-video-library,100,1,3,5
Load More Products for WooCommerce,load-more-products-for-woocommerce,7000,0,64,4.9
WordPress Download Manager,download-manager,100000,0,668,4.1
Fusion Page Builder : Extension &#8211; Video,fusion-extension-video,600,1,0,0
WooCommerce Featured Video,woo-featured-video,500,1,6,5
WooCommerce Custom Product Tabs Lite,woocommerce-custom-product-tabs-lite,10000,0,28,4.4
Contact Form by BestWebSoft,contact-form-plugin,100000,0,284,4
Coming Soon by Supsystic,coming-soon-by-supsystic,6000,0,54,4.7
Webcam 2Way Videochat,webcam-2way-videochat,200,1,3,5
"Gallery &#8211; WordPress Gallery, Photo Gallery",new-photo-gallery,2000,0,15,5
Markup (JSON-LD) structured in schema.org,wp-structuring-markup,20000,0,41,4.7
Schema App Structured Data,schema-app-structured-data-for-schemaorg,10000,0,28,4
Workbox Video from Vimeo &amp; Youtube Plugin,workbox-video-from-vimeo-youtube-plugin,800,1,10,3.7
Nemus Slider,nemus-slider,1000,0,14,4.5
Ivory Search &#8211; WordPress Search Plugin,add-search-to-menu,20000,0,173,4.9
Custom Icons for Elementor,custom-icons-for-elementor,30000,0,23,4.5
FA Video Popup,fa-video-popup,300,1,2,5
Alphabetic Pagination,alphabetic-pagination,1000,0,60,4.8
Schema &amp; Structured Data for WP &amp; AMP,schema-and-structured-data-for-wp,10000,0,60,4.6
Min and Max Quantity for WooCommerce,minmax-quantity-for-woocommerce,6000,0,38,4.8
WordPress Colorbox Lightbox,wp-colorbox,10000,0,22,4.3
User Profile Picture,metronet-profile-picture,40000,0,37,4.6
OpenTickets Community Edition,opentickets-community-edition,1000,0,40,3.6
Responsive Lightbox,responsive-lightbox-lite,20000,0,32,4.6
Under Construction,under-construction-page,300000,0,1197,4.9
Link Checker,link-checker,10000,0,18,3.7
Contact Form 7 &#8211; PayPal &amp; Stripe Add-on,contact-form-7-paypal-add-on,10000,0,59,4.4
WP Recipe Maker,wp-recipe-maker,20000,0,105,5
Google Captcha (reCAPTCHA) by BestWebSoft,google-captcha,200000,0,309,4.1
InfiniteWP Client,iwp-client,300000,0,106,4.4
Simple Link Directory,simple-link-directory,2000,0,68,4.7
Images Slideshow by 2J &#8211; Image Slider,2j-slideshow,4000,0,52,4.1
Responsive Slider by MotoPress,motopress-slider-lite,5000,0,17,4.5
"Popup Maker &#8211; Responsive popup, Exit Intent Pop up, Email Optins, Autoresponder &amp; More",popup-maker-wp,5000,0,66,4.5
WooCommerce Conversion Tracking,woocommerce-conversion-tracking,20000,0,13,3.7
"s2Member Framework (Member Roles, Capabilities, Membership, PayPal Members)",s2member,20000,0,189,3.9
Slideshow CK,slideshow-ck,4000,0,7,4.4
Pricing Table by Supsystic,pricing-table-by-supsystic,30000,0,214,4.5
WP Datepicker,wp-datepicker,6000,0,27,4.6
Event Calendar WD &#8211; Responsive Event Calendar plugin,event-calendar-wd,30000,0,195,4.6
YouTube Playlist Player,youtube-playlist-player,1000,0,12,4.5
FA Lite &#8211; WP responsive slider plugin,featured-articles-lite,2000,0,12,3.6
Discount Rules for WooCommerce,woo-discount-rules,10000,0,149,4.7
MomentoPress for Momento360,cmyee-momentopress,1000,0,1,5
Magic Embeds,wp-embed-facebook,10000,0,39,3.9
Youtube Video Search,youtube-post-search,50,1,3,5
Simple YouTube Responsive,simple-youtube-responsive,2000,0,6,5
User Post Gallery &#8211; UPG,wp-upg,1000,0,16,4.2
Custom Login Page Customizer | LoginPress,loginpress,60000,0,231,4.8
WP Shortcode by MyThemeShop,wp-shortcode,50000,0,8,3.4
WordPress File Upload,wp-file-upload,20000,0,80,4.6
Photo Gallery by Supsystic,gallery-by-supsystic,70000,0,397,4.8
Smooth Slider,smooth-slider,10000,0,101,4.3
OT Flatsome Vertical Menu,ot-flatsome-vertical-menu,7000,0,14,4.9
Gallery – Photo Albums Plugin,easy-media-gallery,9000,0,276,3.8
Ultimate Gallery Master,ultimate-gallery-master,4000,0,7,4.1
Exit Popup,exit-popup,4000,0,18,4.3
WP Notification Bars,wp-notification-bars,20000,0,28,4
Layer Slider,slider-slideshow,4000,0,19,3.6
